model,eval_country,relationship,question_id,question_text,response_type,gps_dimension,is_ordered,is_numeric_open,n_options,n_valid,total_weight,tv_distance,js_divergence,brier_score,cross_entropy,population_entropy,model_entropy,entropy_error,top_option_match,population_top_code,model_top_code,population_mean,model_mean,mean_error,abs_mean_error,population_std,model_std,std_error,abs_std_error,wasserstein_distance,bank,model_country,is_adapter,is_base,Section,ResponseType,ResponseLabels,ResponseCodes,StandaloneQuestion,scale_class,scale_family
BRA_adapter,BRA,matched,Q101,"Are you an active member, an inactive member, or not a member of humanitarian or a charitable organization?",single_choice_3,altruism,True,False,3,1723,1722.202289234,0.201933945099254,0.0490804908548689,0.0726076735973418,0.5492189533481273,0.3857287179859461,0.7031731334453282,0.317444415459382,True,0,0,0.1644333727346024,0.3157059500400679,0.1512725773054654,0.1512725773054654,0.5182084573870939,0.5445358592391903,0.0263274018520964,0.0263274018520964,0.201933945099254,co2_8,BRA,True,False,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",single_choice_3,Active member; Inactive member; Don't belong,2; 1; 0,"Are you an active member, an inactive member, or not a member of humanitarian or a charitable organization?",ordered_3pt,ordered_single
BRA_adapter,BRA,matched,Q103,"Are you an active member, an inactive member, or not a member of a self-help group or a mutual aid group?",single_choice_3,altruism,True,False,3,1716,1715.8685697770002,0.029596668776146,0.0059369986651861,0.0016060082610089,0.332256269805765,0.3063930552364336,0.2911573734121826,-0.015235681824251,True,0,0,0.1188879706990098,0.0865773387853271,-0.0323106319136827,0.0323106319136827,0.4450068203789832,0.3364012703656408,-0.1086055500133424,0.1086055500133424,0.0323106319136827,co2_8,BRA,True,False,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",single_choice_3,Active member; Inactive member; Don't belong,2; 1; 0,"Are you an active member, an inactive member, or not a member of a self-help group or a mutual aid group?",ordered_3pt,ordered_single
BRA_adapter,BRA,matched,Q106,"How would you place your views on this scale? 1 means you agree completely with statement A; 10 means you agree completely with statement B; and if your views fall somewhere in between, you can choose any number in between. Statement A: Incomes should be made more equal; Statement B: there should be greater incentives for individual effort?",scale_1_10,risktaking,True,False,10,1695,1695.028395493,0.7299572458802427,0.3654429768618127,0.3937868595303411,9.756078115497688,1.9805915092638915,1.0251854623594072,-0.9554060469044844,False,1,5,5.06498777878996,5.378690472010008,0.3137026932200477,0.3137026932200477,3.475802009688379,0.6882102088890896,-2.787591800799289,2.787591800799289,2.515486947526182,co2_8,BRA,True,False,ECONOMIC VALUES,scale_1_10,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10,"How would you place your views on this scale? 1 means you agree completely with statement A; 10 means you agree completely with statement B; and if your views fall somewhere in between, you can choose any number in between. Statement A: Incomes should be made more equal; Statement B: there should be greater incentives for individual effort?",ordered_10pt,ordered_single
BRA_adapter,BRA,matched,Q107,"How would you place your views on this scale? 1 means you agree completely with statement A; 10 means you agree completely with statement B; and if your views fall somewhere in between, you can choose any number in between. Statement A: Private ownership of business and industry should be increased; Statement B: Government ownership of business and industry should be increased?",scale_1_10,risktaking,True,False,10,1644,1646.0500730689998,0.5364446212265543,0.2372419334658157,0.2279015013274726,5.055707961358573,1.9238928324385955,1.5601981643982867,-0.3636946680403088,False,1,5,4.922348083406913,5.204628781828244,0.2822806984213315,0.2822806984213315,3.332642013212777,1.2908428806973515,-2.0417991325154254,2.0417991325154254,1.981070794732276,co2_8,BRA,True,False,ECONOMIC VALUES,scale_1_10,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10,"How would you place your views on this scale? 1 means you agree completely with statement A; 10 means you agree completely with statement B; and if your views fall somewhere in between, you can choose any number in between. Statement A: Private ownership of business and industry should be increased; Statement B: Government ownership of business and industry should be increased?",ordered_10pt,ordered_single
BRA_adapter,BRA,matched,Q109,"How would you place your views on this scale? 1 means you agree completely with statement A; 10 means you agree completely with statement B; and if your views fall somewhere in between, you can choose any number in between. Statement A: Competition is good; Statement B:  Competition is harmful?",scale_1_10,risktaking,True,False,10,1682,1684.316089135,0.7115115100784819,0.3524292200728978,0.4279503160005796,8.675843155012608,1.7491471621821073,1.136172863173728,-0.6129742990083793,False,1,5,3.7625718240550823,5.229833426778718,1.4672616027236356,1.4672616027236356,3.1580574121107534,0.7715448227489751,-2.3865125893617782,2.3865125893617782,2.642064003118797,co2_8,BRA,True,False,ECONOMIC VALUES,scale_1_10,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10,"How would you place your views on this scale? 1 means you agree completely with statement A; 10 means you agree completely with statement B; and if your views fall somewhere in between, you can choose any number in between. Statement A: Competition is good; Statement B:  Competition is harmful?",ordered_10pt,ordered_single
BRA_adapter,BRA,matched,Q12,Is tolerance and respect for other people one of the qualities children should be encouraged to learn at home?,multiple_response_max_5,posrecip,True,False,2,1762,1761.9999999759998,0.3858597721748931,0.1569438240650265,0.2977755275657208,4.304921741752124,0.6668666779486099,0.0001736584259728,-0.666693019522637,True,1,1,1.385874057692543,1.00001428551765,-0.3858597721748928,0.3858597721748928,0.4868010572014352,0.0037795917205538,-0.4830214654808814,0.4830214654808814,0.3858597721748931,co2_8,BRA,True,False,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",multiple_response_max_5,Yes; No,1; 2,Is tolerance and respect for other people one of the qualities children should be encouraged to learn at home?,multiple_response_max5,multi_select
BRA_adapter,BRA,matched,Q13,"Is thrift, saving money and things one of the qualities children should be encouraged to learn at home?",multiple_response_max_5,patience,True,False,2,1762,1761.9999999759998,0.8194944887626364,0.440100134199849,1.3431424342246696,7.184904635112482,0.4719230835527425,0.0015232570522957,-0.4703998265004467,False,2,1,1.819650469038974,1.0001559802763376,-0.8194944887626365,0.8194944887626365,0.384478318820664,0.0124882323205005,-0.3719900865001635,0.3719900865001635,0.8194944887626364,co2_8,BRA,True,False,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",multiple_response_max_5,Yes; No,1; 2,"Is thrift, saving money and things one of the qualities children should be encouraged to learn at home?",multiple_response_max5,multi_select
BRA_adapter,BRA,matched,Q14,"Is determination, perseverance one of the qualities children should be encouraged to learn at home?",multiple_response_max_5,patience,True,False,2,1762,1761.9999999759998,0.7658719657277684,0.3932659826047152,1.173119735775432,8.185523436193277,0.5441893251194793,0.0002668024777544,-0.5439225226417248,False,2,1,1.7658947937249612,1.000022827997193,-0.7658719657277682,0.7658719657277682,0.423438258391894,0.0047778108036455,-0.4186604475882484,0.4186604475882484,0.7658719657277684,co2_8,BRA,True,False,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",multiple_response_max_5,Yes; No,1; 2,"Is determination, perseverance one of the qualities children should be encouraged to learn at home?",multiple_response_max5,multi_select
BRA_adapter,BRA,matched,Q174,Which of the following statements do you agree with most: The basic meaning of religion is to follow religious norms and ceremonies; The basic meaning of religion is to do good to other people?,single_choice_2,posrecip,False,False,2,1675,1674.810870699,0.0998552827384575,0.0335081560223624,0.0199421549815546,0.6816513323668483,0.327369065016571,0.0091884126750445,-0.3181806523415265,True,2,2,,,,,,,,,,co2_8,BRA,True,False,RELIGIOUS VALUES,single_choice_2,To follow religious norms and ceremonies; To do good to other people / To make sense of life after death; To make sense of life in this world,1; 2,Which of the following statements do you agree with most: The basic meaning of religion is to follow religious norms and ceremonies; The basic meaning of religion is to do good to other people?,binary_yn,binary
BRA_adapter,BRA,matched,Q176,"On a 10-point scale, how much do you agree or disagree that nowadays one often has trouble deciding which moral rules are the right ones to follow?",scale_1_10,negrecip,True,False,10,1590,1593.455517806,0.5576301388843268,0.2554737783831461,0.2365446480208261,5.76285192796356,1.9577537226596695,1.287976519957655,-0.6697772027020148,False,1,6,4.231803499137884,5.728544040850464,1.4967405417125796,1.4967405417125796,2.852030325710317,0.8992909179230438,-1.9527394077872728,1.9527394077872728,2.1203034302366737,co2_8,BRA,True,False,ETHICAL VALUES AND NORMS,scale_1_10,Completely agree; 2; 3; 4; 5; 6; 7; 8; 9; Completely disagree,1; 2; 3; 4; 5; 6; 7; 8; 9; 10,"On a 10-point scale, how much do you agree or disagree that nowadays one often has trouble deciding which moral rules are the right ones to follow?",ordered_10pt,ordered_single
